performance_id,review_id,rating,user_id,date,view_count,like_count,title,text
22014277#,0,5,apxmfhsh***예매자,2024.03.31,조회 103,"공감 0
공감하기","베스트첫 예매, 첫 연극 후기. 최고 그 자체
라이브 후기",눈 앞에서 배우분들의 열정 가득 담긴 연기를 보면서 앞으로 더 많은 연극이 보고싶어졌습니다. 첫 연극이 기대 이상이라 여운이 가시질 않습니다. 너무 멋진 공연 최고였습니다!!
22014277#,1,5,lch0***예매자,2024.03.27,조회 88,"공감 1
공감하기",베스트만족스러웠던 하루,"여자친구와 처음으로 서울나들이를 하며 무얼할까 고민하던 찰나 고등학교 시절 수학여행 때 연극을 너무 재밌게 본 기억이 떠올라 예매하게 됐어요 !
아니나 다를까 2시간동안 너무 웃어서 광대가 아팠네요
끝나고도 너무 재밌었다는 말만 반복했던거 같아요
재밌는 서울나들이를 보낼 수 있게 해주신 배우분들 감사합니다 특히 멀티맨 최고!!"
22014277#,2,5,rach1***예매자,2024.03.10,조회 83,"공감 0
공감하기",베스트가슴 설레는 연극,주인공들의 썸타고 가까워지는 모습들을 바라보며 같이 응원하게 되는 연극이었어요 2년 전에 봤었는데 또 봐도 재미있었네요
22014277#,3,5,jhh2***예매자,2024.03.09,조회 49,"공감 0
공감하기",베스트넘넘 추천!!,혼자갔는데 한바탕 웃고왔네요..ㅎ 공연도 재미있었는데 마지막 사진서비스까지 완벽한 공연이었어요!! 처음가보시는 분들이라면 꼭 추천드려요!! 물론 재관람도 강추!!
22014277#,4,5,happy02***예매자,2024.01.15,조회 480,"공감 37
공감하기",베스트인생 첫 연극으로 후회없는 선택!,"매일 밥, 영화, 카페만 반복하다가 새로운 데이트를 해보고 싶어서 연극을 보기로 했어요~!
어떤 연극으로 할까 고민이 많았는데 평도 너무 좋고 다들 재밌다고 해서 보게 되었습니다 ㅎㅎ
첫 연극이라 기대도 많이됐지만 긴장도 됐는데 긴장이 다 풀릴만큼 너무 재밌었어요 ㅎㅎ
처음부터 배우님께서 공연 보는 법도 잘 설명해주셔서 더 부담없이 집중하고 즐길 수 있었던 것 같아요!
공연은 당연히 너무 웃기고 재밌었구요~! 끝나니 아쉬워서 한번 더 보고 싶다는 생각이 들었어요 :-)
첫 연극으로 뭐 볼지 고민되시는 분들에게 실패 없는 선택이 될 것 같습니닷!! +ㅁ+"
22014277#,5,5,1real***예매자,2024.01.15,조회 279,"공감 37
공감하기",베스트너무 웃겨서 자꾸 생각나는 연극!!,"친구와 같이 보러 갔는데 너무 웃겨서 공연 보는 내내 계속 웃었어요 ㅜㅜㅋㅋㅋ
멀티맨 배우님이 땀을 뻘뻘 흘리면서 연기하시고 공연을 너무 잘 살려주시더라구요 !!
중후반부터는 정말 존경스러웠습니다 ㅎㅎ ㅋㅋㅋㅋ
관객들 분위기도 너무 좋아서 그냥 다같이 계속 웃다가 나온 것 같아요 ㅜㅜ ㅋㅋ
친구들 데리고 몇 번 더 가고싶을 정도로 인생연극 됐어요 ㅎㅎ
실컷 웃고 싶으신 분들에게 완전 강추해욤 ~~ &#128077;"
22014277#,6,5,sh443***예매자,2024.01.15,조회 329,"공감 37
공감하기",베스트연애하고 싶으신 분들~! 한뼘사이 보세요!,"연인끼리 보기 좋은 연극으로 유명한데 그 이유를 알겠더라고요~!
이미 연인이신 분들 포함 썸남썸녀 있으신 분들도 꼭꼭 보세요!!
저번에 너무 재밌게 봐서 썸남과 함께 재관람하러 갔었는데요~
워낙 공연 분위기가 좋다보니 저도 썸남도 정말 재밌게 봤습니당!
덕분에 데이트 내내 웃음이 끊이지 않았어요~
아마 썸남과 연인으로 발전하는데 굉장히 큰 기여를 하지 않았나 생각합니다! ㅎㅎ
나중에 까먹을 때쯤 또 보러 가기로 했어요~
연애하고 싶어하는 친구 있으면 한뼘사이 적극 추천해주세요! :)"
22014277#,7,5,jian3***예매자,2024.01.09,조회 422,"공감 38
공감하기","베스트지금까지 이리 만족했던 연극은 없었다 이것은 연극인가 영화인가
라이브 후기",남자친구랑 봤는데 두시간 동안 정말 많이 웃었습니다 배우분들 연기도 진짜 와… 진지할 땐 진지하고 웃길 때는 확실하게 웃겨주시는 연기가 미쳤습니다 다른 분들 후기도 봤는데 썸 탈 때 보러가면 연인으로 발전한다는 게 무슨 말인 지 알겠더라구요 남자친구도 저도 둘 다 엄청 만족했던 연극이였어요 역시 오랜시간동안 사랑 받는 작품은 이유가 있네요 지금까지 봤던 연극들 중에서 제일 많이 웃었던 연극이에요 관계가 발전하고 싶으신 분들에게 최고의 연극이라고 생각합니다 배우님들 최고최고 ????
22014277#,8,5,gusrud3***예매자,2024.04.15,조회 13,"공감 0
공감하기",강력추천!!!,강력추천!!! 너무 재미있어요!!!
22014277#,9,5,noble***예매자,2024.04.15,조회 7,"공감 0
공감하기",너무 재밌어요,"역시 코믹로맨스라서 열심히 웃다가 왔습니다.
배우분들의 연기력도 좋았고,
2시간 내내 시간 가는 줄 모르고 보았네요.
친구들과 아주 재미난 추억 거리 만들고 왔어요."
